           k         eta           a       delta      delta'
   0.0501187  11.9542500   0.0980550   0.0789840   0.0121803
   0.0501187  11.9981800   0.0986598   0.0795199   0.0122192
   0.0501187  12.0421100   0.0992647   0.0800576   0.0122584
   0.0501187  12.0860400   0.0998695   0.0805970   0.0122981
   0.0501187  12.1299700   0.1004744   0.0811381   0.0123381
   0.0501187  12.1739000   0.1010792   0.0816810   0.0123785
   0.0501187  12.2178300   0.1016841   0.0822257   0.0124193
   0.0501187  12.2617600   0.1022890   0.0827722   0.0124605
   0.0501187  12.3056900   0.1028939   0.0833205   0.0125020
   0.0501187  12.3496200   0.1034988   0.0838706   0.0125439
   0.0501187  12.3935500   0.1041037   0.0844226   0.0125861
   0.0501187  12.4374800   0.1047086   0.0849764   0.0126286
   0.0501187  12.4814100   0.1053135   0.0855321   0.0126715
   0.0501187  12.5253400   0.1059184   0.0860897   0.0127147
   0.0501187  12.5692700   0.1065233   0.0866493   0.0127582
   0.0501187  12.6132000   0.1071283   0.0872107   0.0128020
   0.0501187  12.6571300   0.1077332   0.0877740   0.0128462
   0.0501187  12.7010600   0.1083381   0.0883394   0.0128906
   0.0501187  12.7449900   0.1089431   0.0889066   0.0129353
   0.0501187  12.7889200   0.1095481   0.0894759   0.0129803
   0.0501187  12.8328500   0.1101530   0.0900471   0.0130256
   0.0501187  12.8767800   0.1107580   0.0906203   0.0130712
   0.0501187  12.9207100   0.1113630   0.0911955   0.0131170
   0.0501187  12.9646400   0.1119680   0.0917727   0.0131631
   0.0501187  13.0085700   0.1125730   0.0923520   0.0132095
   0.0501187  13.0525000   0.1131780   0.0929333   0.0132561
   0.0501187  13.0964300   0.1137830   0.0935167   0.0133030
   0.0501187  13.1403600   0.1143880   0.0941021   0.0133501
   0.0501187  13.1842900   0.1149930   0.0946896   0.0133974
   0.0501187  13.2282200   0.1155981   0.0952792   0.0134450
   0.0501187  13.2721500   0.1162031   0.0958709   0.0134929
   0.0501187  13.3160800   0.1168082   0.0964647   0.0135409
   0.0501187  13.3600100   0.1174132   0.0970606   0.0135892
   0.0501187  13.4039400   0.1180183   0.0976587   0.0136377
   0.0501187  13.4478700   0.1186234   0.0982589   0.0136865
   0.0501187  13.4918000   0.1192285   0.0988612   0.0137354
   0.0501187  13.5357300   0.1198336   0.0994657   0.0137846
   0.0501187  13.5796600   0.1204387   0.1000723   0.0138339
   0.0501187  13.6235900   0.1210438   0.1006811   0.0138835
   0.0501187  13.6675200   0.1216490   0.1012921   0.0139332
   0.0501187  13.7114500   0.1222541   0.1019053   0.0139832
   0.0501187  13.7553800   0.1228593   0.1025207   0.0140333
   0.0501187  13.7993100   0.1234644   0.1031382   0.0140837
   0.0501187  13.8432400   0.1240696   0.1037581   0.0141342
   0.0501187  13.8871700   0.1246748   0.1043801   0.0141849
   0.0501187  13.9311000   0.1252800   0.1050043   0.0142357
   0.0501187  13.9750300   0.1258852   0.1056308   0.0142868
   0.0501187  14.0189600   0.1264904   0.1062596   0.0143380
   0.0501187  14.0628900   0.1270956   0.1068906   0.0143894
   0.0501187  14.1068200   0.1277009   0.1075238   0.0144410
   0.0501187  14.1507500   0.1283061   0.1081594   0.0144927
   0.0501187  14.1946800   0.1289114   0.1087972   0.0145446
   0.0501187  14.2386100   0.1295167   0.1094372   0.0145966
   0.0501187  14.2825400   0.1301219   0.1100796   0.0146488
   0.0501187  14.3264700   0.1307272   0.1107243   0.0147011
   0.0501187  14.3704000   0.1313326   0.1113713   0.0147536
   0.0501187  14.4143300   0.1319379   0.1120205   0.0148063
   0.0501187  14.4582600   0.1325432   0.1126721   0.0148590
   0.0501187  14.5021900   0.1331486   0.1133261   0.0149120
   0.0501187  14.5461200   0.1337540   0.1139823   0.0149650
   0.0501187  14.5900500   0.1343594   0.1146409   0.0150182
   0.0501187  14.6339800   0.1349648   0.1153018   0.0150716
   0.0501187  14.6779100   0.1355702   0.1159651   0.0151250
   0.0501187  14.7218400   0.1361756   0.1166307   0.0151786
   0.0501187  14.7657700   0.1367811   0.1172987   0.0152324
   0.0501187  14.8097000   0.1373865   0.1179690   0.0152862
   0.0501187  14.8536300   0.1379920   0.1186417   0.0153402
   0.0501187  14.8975600   0.1385975   0.1193168   0.0153943
   0.0501187  14.9414900   0.1392030   0.1199943   0.0154485
   0.0501187  14.9854200   0.1398086   0.1206741   0.0155028
   0.0501187  15.0293500   0.1404141   0.1213564   0.0155573
   0.0501187  15.0732800   0.1410197   0.1220410   0.0156119
   0.0501187  15.1172100   0.1416253   0.1227280   0.0156665
   0.0501187  15.1611400   0.1422309   0.1234175   0.0157213
   0.0501187  15.2050700   0.1428365   0.1241093   0.0157762
   0.0501187  15.2490000   0.1434422   0.1248035   0.0158312
   0.0501187  15.2929300   0.1440478   0.1255002   0.0158863
   0.0501187  15.3368600   0.1446535   0.1261993   0.0159415
   0.0501187  15.3807900   0.1452593   0.1269008   0.0159968
   0.0501187  15.4247200   0.1458650   0.1276048   0.0160522
   0.0501187  15.4686500   0.1464708   0.1283112   0.0161077
   0.0501187  15.5125800   0.1470765   0.1290200   0.0161633
   0.0501187  15.5565100   0.1476824   0.1297313   0.0162190
   0.0501187  15.6004400   0.1482882   0.1304450   0.0162748
   0.0501187  15.6443700   0.1488941   0.1311612   0.0163307
   0.0501187  15.6883000   0.1495000   0.1318798   0.0163866
   0.0501187  15.7322300   0.1501059   0.1326009   0.0164427
   0.0501187  15.7761600   0.1507118   0.1333245   0.0164988
   0.0501187  15.8200900   0.1513178   0.1340505   0.0165550
   0.0501187  15.8640200   0.1519238   0.1347790   0.0166113
   0.0501187  15.9079500   0.1525298   0.1355100   0.0166677
   0.0501187  15.9518800   0.1531359   0.1362435   0.0167242
   0.0501187  15.9958100   0.1537420   0.1369794   0.0167808
   0.0501187  16.0397400   0.1543481   0.1377178   0.0168374
   0.0501187  16.0836700   0.1549543   0.1384587   0.0168941
   0.0501187  16.1276000   0.1555605   0.1392021   0.0169509
   0.0501187  16.1715300   0.1561667   0.1399480   0.0170077
